Title	Creator	Description	Date	Date Approximate	Keywords	Source	Publisher	Book Relationship	Identifier	Format Original	Format Digital	Type	Rights	Language	Date Digital	Location	Geonames	Latitude	Longitude	Filename	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Holt Tractor Loaded with Logs		Tractor ready to pull a load of logs to the river, Ray Rauch operation near Newport, Washington. Holt Caterpillar ""60"" Tractor pulling  ""bummer"", two wagons and three trailers loaded with a total 22,270 board feet of logs. Ray Rauch is the man wearing a vest. Courtesy Lester M. Tarbet.	1913-01-01		logs (wood); crawler tractors; group portraits; draft horses;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 131. Also print	69_2_B-40	black and white film copy negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Newport, Pend Oreille County, Washington, United States	http://www.geonames.org/5804694/newport.html	48.1819	-117.0354			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/83	83	174.jp2	/whitepine/image/174.jp2
Sleigh Loaded with Logs		Sleigh load of logs drawn by horses. Ray Rauch operation near Newport, Washington. Load is a total of 12,400 board feet log measure) Men are left to right: Walt Cooley, Sean Cooley, Seifers Golt, and Ray R. Rauch. The haul was 6 miles and was run twice a day. It cost $2.75 per mile to mill. Courtesy Lester M. Tarbet.	1911-01-01		logs (wood); draft horses; snow; winter; group portraits; sleighs;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 109. Also print	69_2_B-41	black and white film copy negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Newport, Pend Oreille County, Washington, United States	http://www.geonames.org/5804694/newport.html	48.1819	-117.0354			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/84	84	175.jp2	/whitepine/image/175.jp2
Flume Crew Separating Logs		Crew separating logs at the Rose Lake Lumber Company flume, Falls Creek. Courtesy of Tom Reed.	1925-01-01		flumes; log (wood); blue collar workers;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 118	69_2_B-42	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Falls Creek, Shoshone County, Idaho, United States	http://www.geonames.org/5592790/falls-creek.html	47.7461	-116.0209			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/85	85	176.jp2	/whitepine/image/176.jp2
Pack String		Kirtly & Stone mule pack string loaded with hay, 20 miles NE of Prichard, Idaho. The pack train is headed to Rose Lake. According to Dick Reed this was either the Falls Creek camp 2 or 3 of the Winton Lumber Company. Men are left to right: Bobby Sears, Bob Conners (packer in the 10 gallon hat), and an unidentified man.	1925-01-01		mules (mammals); hay;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 105	69_2_B-43	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Falls Creek, Shoshone County, Idaho, United States	http://www.geonames.org/5592790/falls-creek.html	47.7461	-116.0209			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/86	86	177.jp2	/whitepine/image/177.jp2
Marianne Hensley		Marianne Hensley, Spirit Lake, helping on logging operations which she does regularly with her husband. Courtesy of Mrs. Hensley.	1925-01-01		lumbermen; women; log (wood); draft horses;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 158	69_2_B-44	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Spirit Lake, Kootenai County, Idaho, United States	http://www.geonames.org/5608388/spirit-lake.html	47.9671	-116.8739			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/87	87	178.jp2	/whitepine/image/178.jp2
Falls Creek Flume		Flume on Falls Creek.	1925-01-01		flumes;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-45	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Falls Creek, Shoshone County, Idaho, United States	http://www.geonames.org/5592790/falls-creek.html	47.7461	-116.0209			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/88	88	179.jp2	/whitepine/image/179.jp2
Chute meets Flume		Neil Fullerton standing next to the Mica Creek trailing chute. This is where the chute landing met the Mica Creek trailing flume. Beginning of flume in background. St. Joe National Forest. Courtesy of Neil Fullerton.	1939-09-22		portraits; flumes; chutes; log (wood);	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 113. Also print	69_2_B-46	black and white negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Mica Creek, Shoshone County, Idaho, United States	http://www.geonames.org/5600736/mica-creek.html	47.2686	-116.1363			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/90	90	180.jp2	/whitepine/image/180.jp2
Brickle Creek Flume		Logs stacked on log deck and Brickle Creek flume of the Panhandle Lumber Company. Brickle Creek is west of Spirit Lake. Courtesy of Mrs. Richard E. Ferrell (widow of the noted North Idaho lumberjack preacher) Spokane, Washington.	1925-01-01	yes	flumes; log (wood);	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 117. Also print	69_2_B-47	black and white film copy negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Brickel Creek, Spokane County, Washington, United States	http://www.geonames.org/5788093/brickel-creek.html	47.9285	-116.9887			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/91	91	181.jp2	/whitepine/image/181.jp2
Mica Creek Trailing Chute		Neil Fulleron at the Mica Creek Trailing Chute. This is where the chute landing met up with the Mica Creek Flume. Beginning of Flume can be seen in the background. Saint Joe National Forest.	1939-09-22		portraits; flumes; chutes; log (wood);	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-48	black and white negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Mica Creek, Shoshone County, Idaho, United States	http://www.geonames.org/5600736/mica-creek.html	47.2686	-116.1363			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/92	92	182.jp2	/whitepine/image/182.jp2
Brickle Creek Flume		Brickle Creek flume in operation, Panhandle Lumber Company. West of Spirit Lake, Idaho. This photo is from an old post card. Courtesy of Mrs. Richard E. Ferrell, Spokane, Washington.	1924-01-01	yes	flumes; log (wood);	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 118. Also print	69_2_B-49	black and white film copy negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Brickel Creek, Spokane County, Washington, United States	http://www.geonames.org/5788093/brickel-creek.html	47.9285	-116.9887			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/93	93	183.jp2	/whitepine/image/183.jp2
Fred Herrick Flume	Clarence C. Strong	Milwaukee Lumber Co. flume on Benewah Creek 50 years after construction (built in 1916).	1966-01-01		flumes; portraits;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 86	69_2_B-50	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Benewah Creek, Benewah County, Idaho, United States	http://www.geonames.org/5585305/benewah-creek.html	47.2505	-116.7644			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/94	94	184.jp2	/whitepine/image/184.jp2
Skookum Creek Flume	K.D. Swan	From chute and rollway to flume, Winton Lumber Company on Skookum Creek. Credit to the U.S.D.A. Forest Service.	1924-01-01		flumes; log (wood); blue collar workers;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 116	69_2_B-51	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Skookum Creek, Kootenai County, Idaho, United States	http://www.geonames.org/5607475/skookum-creek.html	47.7408	-116.4745			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/95	95	185.jp2	/whitepine/image/185.jp2
Leiberg Creek Flume	W.C. Lowdermilk	Rolling logs into Leiberg Creek flume, Little North Fork Coeur d'Alene River, Coeur d'Alene National Forest. Credit to the U.S.D.A. Forest Service.	1920-07-01		flumes; log (wood); blue collar workers;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 116	69_2_B-52	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Leiberg Creek, Kootenai County, Idaho, United States	http://www.geonames.org/5598453/leiberg-creek.html	47.7150	-116.3825			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/96	96	186.jp2	/whitepine/image/186.jp2
Log Drive	Philip Neff	Log drive on Coeur d'Alene River. Drivers working on a center. Photo credit to the U.S.D.A. Forest Service.	1921-07-18		log (wood); blue collar workers; rivers;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-53	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			North Fork Coeur d'Alene River, Shoshone County, Idaho, United States	http://www.geonames.org/5602355/north-fork-coeur-d-alene-river.html	47.5645	-116.3138			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/97	97	187.jp2	/whitepine/image/187.jp2
Sanders, Idaho		A view of the town of Sanders, Idaho. Courtesy of Mrs. Day of New Sanders, Idaho.	1905-01-01	yes	towns;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-54	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Sanders, Benewah County, Idaho, United States	http://www.geonames.org/5606410/sanders.html	47.1066	-116.7960			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/98	98	188.jp2	/whitepine/image/188.jp2
Driving Cranberry and Marble Creeks	Charles K. McHarg	Logs at the junction of Cranberry Creek and Marble Creek, St. Joe National Forest. Credit U.S.D.A. Forest Service.	1923-06-18		log (wood); rivers;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 56	69_2_B-55	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Cranberry Creek, Shoshone County, Idaho, United States	http://www.geonames.org/5590071/cranberry-creek.html	47.1292	-116.1012			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/99	99	189.jp2	/whitepine/image/189.jp2
Tugboat ""Coeur d'Alene""	Neil Fullerton	Tugboat towing logs on St. Joe River above St. Maries towards Coeur d'Alene.	1941-05-08		log (wood); rivers; tugboats;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_B-13	black and white negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Cottonwood Point, Benewah County, Idaho, United States	http://www.geonames.org/5589775/cottonwood-point.html	47.3317	-116.6177			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/100	100	19.jp2	/whitepine/image/19.jp2
Sleigh Loaded with Logs		Joe Brown logging operation at Sanders, Idaho. Team of horses pulling a ""go-devil"" or a sled. Courtesy of Mrs. Day of Sanders, ID.	1905-01-01	yes	sleds; draft horses; group portraits; log (wood); snow; winter;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-56	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Sanders, Benewah County, Idaho, United States	http://www.geonames.org/5606410/sanders.html	47.1066	-116.7960			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/101	101	190.jp2	/whitepine/image/190.jp2
Sleigh Loaded with Logs		Joe Brown logging operation at Sanders, Idaho. Woman and children on sleigh load of logs, left to right: Mrs. Joe Brown, Esther Brown, and Roy Brown. (ALS Esther St. George to Clarence C. Strong on 8/15/1968.) Courtesy of his daughter (presumably Esther St. George), Sanders, Idaho.	1905-01-01	yes	sleds; draft horses; group portraits; log (wood); snow; winter; children;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-57	black and white film copy negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Sanders, Benewah County, Idaho, United States	http://www.geonames.org/5606410/sanders.html	47.1066	-116.7960			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/102	102	191.jp2	/whitepine/image/191.jp2
Sleigh Loaded with Logs		Sleigh load of logs. Joe Brown logging operation at Sanders, Idaho. Two visible men are left to right: Joe Brown and John Jordan. Child is Roy Brown. (ALS Esther St. George to Clarence C. Strong on 8-15-68.)	1905-01-01	yes	sleds; draft horses; group portraits; log (wood); snow; winter; children; lumbermen;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-59	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Sanders, Benewah County, Idaho, United States	http://www.geonames.org/5606410/sanders.html	47.1066	-116.7960			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/103	103	192.jp2	/whitepine/image/192.jp2
Logs Stored Along St. Joe.	Paul M. Elder	Logs stored in slough along St. Joe River.	1908-01-01		log (wood); rivers; sloughs;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 128	69_2_B-60	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Rochat Creek, Benewah County, Idaho, United States	http://www.geonames.org/5605533/rochat-creek.html	47.3304	-116.4425			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/104	104	193.jp2	/whitepine/image/193.jp2
Loaded Logging Truck	Sidney Streator	Logging truck loaded with white pine and crew. Winton Lumber Company, Gibbs, Idaho. Courtesy of Northern Idaho Junior College.	1935-01-01	yes	log (wood); group portraits; trucks; blue collar workers;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 132	69_2_B-58	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Gibbs, Kootenai County, Idaho, United States	http://www.geonames.org/5594007/gibbs.html	47.6900	-116.8025			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/105	105	194.jp2	/whitepine/image/194.jp2
Al B. Lafferty	Kyle Walker	Al B. Lafferty, longtime owner and manager of Lafferty Transportation Company.	1955-01-01	yes	portraits; offices (work spaces); directors (administrators);	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 126	69_2_B-61	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Kootenai County, Idaho, United States	http://www.geonames.org/5597922/kootenai-county.html	47.6746	-116.7000			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/106	106	195.jp2	/whitepine/image/195.jp2
Hand Logged Forest	Philip Neff	Hand logging operation of the Hedlund Lumber Company, Big Grizzly Creek, Coeur d'Alene National Forest. Photo credit to the U.S.D.A. Forest Service.	1921-07-18		forests (plant communities); log (wood); logging;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-62	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Boundary Creek, Shoshone County, Idaho, United States	http://www.geonames.org/5586651/boundary-creek.html	47.8037	-116.3296			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/107	107	196.jp2	/whitepine/image/196.jp2
Sleigh Loaded with Logs	A. B. Curtis	Sleigh load of logs pulled by tractor or ""cat"". Clearwater Timber Company, Headquarters, Idaho.	1932-01-01		log (wood); sleighs; snow; winter;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 110	69_2_B-63	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Headquarters, Clearwater County, Idaho, United States	http://www.geonames.org/5595392/headquarters.html	46.6418	-115.8110			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/108	108	197.jp2	/whitepine/image/197.jp2
Horse Skidding Logs	W. E. Steuerwald	Horse skidding logs on Stony Creek, Kaniksu National Forest. Taken in August. Photo Credit to the U.S. Forest Service.	1950-01-01		logging; log (wood); draft horses; blue collar workers; lumbermen;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-65	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Stony Creek, Shoshone County, Idaho, United States	http://www.geonames.org/5609023/stony-creek.html	47.8750	-116.1062			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/109	109	198.jp2	/whitepine/image/198.jp2
Ohio Match Company Log Train	Charles K. McHarg	The log train is being pulled by a Heisler locomotive on a section of the Burnt Cabin Creek Railway. Photo is credited to the U.S.D.A. Forest Service.	1930-01-01		railroad (infrastructure); steam locomotives; flatcars; log (wood); snow;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 123	69_2_B-4	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Burnt Cabin Mine, Kootenai County, Idaho, United States	http://www.geonames.org/5587414/burnt-cabin-mine.html	47.7688	-116.5778			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/111	111	2.jp2	/whitepine/image/2.jp2
Steamboat ""Georgie Oakes""		Steamboat ""Georgie Oakes"" and crew. Refueling near Harrison, Idaho. Presented by ""Trux"" Truskowsky.	1910-01-01	Yes	rivers; group portraits; steamboats;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 23	69_2_B-66	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Harrison, Kootenai County, Idaho, United States	http://www.geonames.org/5595198/harrison.html	47.4545	-116.7856			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/112	112	20.jp2	/whitepine/image/20.jp2
White Pine Stand	Sidney Streator	Stand of white pine timber near Cascade Creek, Coeur d'Alene National Forest. Operation of Winton Lumber Company, Gibbs, Idaho.	1927-01-01		white pine (wood); forest plant communities);	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. xii	69_2_B-64	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Cascade Creek, Kootenai County, Idaho, United States	http://www.geonames.org/5588167/cascade-creek.html	47.7769	-116.4780			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/113	113	200.jp2	/whitepine/image/200.jp2
Jackson Lumber Harvester	Idaho State Forestry Division	Jackson lumber harvester in Boundary County, Idaho.	1948-01-01		logging; log (wood); blue collar workers; lumbermen;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-70	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Bald Eagle Mountain, Boundary County, Idaho, United States	http://www.geonames.org/5584534/bald-eagle-mountain.html	48.5151	-116.2674			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/117	117	204.jp2	/whitepine/image/204.jp2
Grant Lumber Company Lumberyard		Grant Lumber Company, St. Maries, Idaho (misidentified as C.W. Russell Sawmill in White Pine King of Many Waters). View of the lumber yard and its employees. From Souvenir of St. Maries by Straffin and Day (1911).	1892-01-01		lumberyard (stores); blue collar workers; draft horses;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 20. Also film printing negative	69_2_B-71	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Saint Maries, Benewah County, Idaho, United States	http://www.geonames.org/5606232/saint-maries.html	47.3144	-116.5630			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/118	118	205.jp2	/whitepine/image/205.jp2
Ohio Match Company Sawmill	K.D. Swan	Ohio Match Company sawmill, Huetter, Idaho. Credit to the U.S.D.A. Forest Service.	1928-01-01		ponds (water); sawmills; lumberyard (stores);	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 60	69_2_B-73	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Huetter, Kootenai County, Idaho, United States	http://www.geonames.org/5596312/huetter.html	47.7033	-116.8503			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/119	119	206.jp2	/whitepine/image/206.jp2
Athol Lumber Company		Athol Lumber Company mill, Athol, Idaho. From a postcard.	1911-01-01	Yes	sawmills; lumberyards (stores);	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-74	black and white film copy negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Athol, Kootenai County, Idaho, United States	http://www.geonames.org/5584330/athol.html	47.9480	-116.7072			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/120	120	207.jp2	/whitepine/image/207.jp2
Idaho Lumber and Manufacturing Company Sawmill		Idaho Lumber and Manufacturing Company sawmill, Post Falls, Idaho. Courtesy Curtis Whitaker, Post Falls, Idaho.	1900-01-01	Yes	ponds (water); sawmills;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 74. Also print	69_2_B-72	black and white film copy negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Post Falls, Kootenai County, Idaho, United States	http://www.geonames.org/5604353/post-falls.html	47.7174	-116.9510			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/121	121	208.jp2	/whitepine/image/208.jp2
Cameron Lumber Company Sawmill		Cameron Lumber Company plant and employees at Harrison, Idaho. Courtesy Bert Russell, Harrison, Idaho.	1901-01-01		ponds (water); sawmills; lumberyard (stores); railroad (infrastructure); freight cars;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 72	69_2_B-75	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Harrison, Kootenai County, Idaho, United States	http://www.geonames.org/5595198/harrison.html	47.4544	-116.7840			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/122	122	209.jp2	/whitepine/image/209.jp2
Loaded Logging Truck	K.D. Swan	Truck load of logs, Kaniksu National Forest. Taken in August. U.S. Forest Service photo.	1957-01-01		trucks; log (wood);	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-67	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Fall Creek, Bonner County, Idaho, United States	http://www.geonames.org/5592730/fall-creek.html	48.3392	-116.1665			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/123	123	21.jp2	/whitepine/image/21.jp2
Potlatch Forests Incorporated, Rutledge Unit	Clarence C. Strong	Rutledge Unit of Potlatch Forests, Incorporated, Coeur d'Alene, Idaho.	1968-01-01		sawmills; lumberyards (stores); expressway;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-77	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Coeur d'Alene, Kootenai County, Idaho, United States	http://www.geonames.org/5589173/coeur-d-alene.html	47.6776	-116.7925			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/124	124	210.jp2	/whitepine/image/210.jp2
St. Maries Lumber Company Sawmill	Paul M. Elder	St. Maries Lumber Company sawmill. Current owner at this time was Lawrence Pugh though previous owners are also listed on the back of the photo: Mike Bogle, W.W. Kroll -1913 (son Charles), Fred Herrick -1920, and G.A. Rogers. Courtesy Paul M. Elder.	1952-01-01		sawmills; log (wood); rivers;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 69	69_2_B-78	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Saint Maries, Benewah County, Idaho, United States	http://www.geonames.org/5606232/saint-maries.html	47.3143	-116.5617			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/125	125	211.jp2	/whitepine/image/211.jp2
Boarding House and Sawmill		Charles W. Russell boarding house & sawmill, Harrison, Idaho (misidentified as Grant Lumber Company Lumberyard in White Pine King of Many Waters). Courtesy of Bert Russell (grandson), Harrison, Idaho.	1900-01-01		ponds (water); sawmills; lumberyard (stores); railroad (infrastructure); boardinghouses;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 18	69_2_B-76	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Harrison, Kootenai County, Idaho, United States	http://www.geonames.org/5595198/harrison.html	47.4544	-116.7840			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/126	126	212.jp2	/whitepine/image/212.jp2
B.R. Lewis Lumber Company Sawmill	Paul M. Elder	B.R. Lewis Lumber Company, Coeur d'Alene, Idaho.	1908-01-01		sawmills; log (wood); rivers; lumberyard (stores);	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-79	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Coeur d'Alene, Kootenai County, Idaho, United States	http://www.geonames.org/5589173/coeur-d-alene.html	47.6776	-116.7925			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/127	127	213.jp2	/whitepine/image/213.jp2
B.R. Lewis Lumber Company Photo Collage	Paul M. Elder	B.R. Lewis Lumber Company - composite and arrangement of several pictures showing logging operations.	1908-01-01		composite views; photographs; sawmills; log (wood);	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-80	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Coeur d'Alene, Kootenai County, Idaho, United States	http://www.geonames.org/5589173/coeur-d-alene.html	47.6776	-116.7925			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/128	128	214.jp2	/whitepine/image/214.jp2
B.R. Lewis Lumber Company Sawmill	Paul M. Elder	B.R. Lewis Lumber Company sawmill, Coeur d'Alene, Idaho.	1908-01-01		sawmills; log (wood); rivers;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 63	69_2_B-81	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Coeur d'Alene, Kootenai County, Idaho, United States	http://www.geonames.org/5589173/coeur-d-alene.html	47.6776	-116.7925			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/129	129	215.jp2	/whitepine/image/215.jp2
